margin: 0.25822749666709455  asn: 144.1471
margin: 0.10523697447698632  asn: 858.6933
margin: 0.284248665559663  asn: 117.6551
margin: 0.2981782272133513  asn: 103.8402
margin: 0.13876638984600298  asn: 488.0777
margin: 0.2039009817615569  asn: 228.4349
margin: 0.19253488329968937  asn: 257.9064
one didn't stop
one didn't stop
margin: 0.8893390769523888  asn: 8.60502100420084
margin: 0.30065329293029763  asn: 103.5225
margin: 0.3175428585015574  asn: 96.769
margin: 0.17318087465613852  asn: 309.3558
margin: 0.16390096014885924  asn: 346.3315
margin: 0.08366526169274113  asn: 1335.5262
margin: 0.14986856511262703  asn: 412.9499
margin: 0.26400205800525933  asn: 132.8533
margin: 0.1892888091258209  asn: 257.6253
margin: 0.09340809164007946  asn: 1070.534
margin: 0.34058094094184677  asn: 81.1291
margin: 0.3423109908029629  asn: 81.2979
margin: 0.07279027297133345  asn: 1735.5027
one didn't stop
margin: 0.16769971654777716  asn: 335.2889288928893
margin: 0.15671641288802896  asn: 379.7153
margin: 0.16794360184096213  asn: 330.984
margin: 0.19568104493203453  asn: 240.7956
margin: 0.07496695443190093  asn: 1654.9103
margin: 0.16142567173589684  asn: 345.7163
margin: 0.11036980303439492  asn: 764.2417
margin: 0.2343366978602448  asn: 172.0204
margin: 0.3443481684579326  asn: 80.7027
margin: 0.08153395295405441  asn: 1366.8565
margin: 0.33880078993813023  asn: 81.6979
margin: 0.16614313970883465  asn: 341.4264
margin: 0.21198719767918517  asn: 204.29
margin: 0.11853217499164193  asn: 651.6941
margin: 0.26869559723363  asn: 132.4058
margin: 0.23655540744132697  asn: 170.2707
margin: 0.05661442473559064  asn: 2831.6962
margin: 0.2138721024370327  asn: 209.256
margin: 0.36598373105613113  asn: 69.8361
margin: 0.10309373998799809  asn: 883.2147
margin: 0.19851006369581392  asn: 236.0011
margin: 0.3959706462784405  asn: 57.1261
margin: 0.449608687511702  asn: 45.6332
