County/City,Ward,Pct,"Hillary R. Clinton","Donald J. Trump","Gary Johnson","Evan McMullin","Jill Stein","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,Green
"Accomack County",-,"101 - Chincoteague",444,"1,188",26,10,7,5,"1,680"
"Accomack County",-,"201 - Atlantic",175,553,13,7,1,1,750
"Accomack County",-,"202 - Greenbackville",302,697,17,4,7,3,"1,030"
"Accomack County",-,"301 - New Church",713,592,21,4,3,5,"1,338"
"Accomack County",-,"401 - Bloxom",141,342,9,3,1,0,496
"Accomack County",-,"402 - Parksley",218,489,16,7,5,1,736
"Accomack County",-,"403 - Saxis",42,153,1,3,1,0,200
"Accomack County",-,"501 - Mappsville",397,243,10,1,7,5,663
"Accomack County",-,"502 - Rue",385,119,9,4,2,2,521
"Accomack County",-,"601 - Accomac",486,637,16,13,8,4,"1,164"
"Accomack County",-,"602 - Tangier",27,221,1,1,1,2,253
"Accomack County",-,"701 - Nandua",805,976,35,19,7,14,"1,856"
"Accomack County",-,"801 - Bobtown",202,369,12,3,4,4,594
"Accomack County",-,"802 - Melfa",436,392,14,5,0,3,850
"Accomack County",-,"803 - Wachapreague",138,349,6,2,0,1,496
"Accomack County",-,"901 - Painter","1,042",618,24,10,4,0,"1,698"
"Accomack County",-,"Ab - Central Absentee Precinct",784,644,32,16,8,3,"1,487"
"Accomack County",-,Provisional,3,1,2,0,0,0,6
"Albemarle County",-,"101 - Woodbrook","1,192",680,82,23,14,21,"2,012"
"Albemarle County",-,"103 - Branchlands",546,208,23,5,10,5,797
"Albemarle County",-,"104 - Agnor-hurt","1,106",406,47,33,23,12,"1,627"
"Albemarle County",-,"105 - Dunlora","1,363",592,61,61,17,19,"2,113"
"Albemarle County",-,"106 - Northside","1,161",901,101,60,9,16,"2,248"
"Albemarle County",-,"201 - Jack Jouett",897,531,38,32,13,17,"1,528"
"Albemarle County",-,"202 - University Hall","1,851",407,149,48,22,19,"2,496"
"Albemarle County",-,"203 - Georgetown","1,338",398,66,40,21,23,"1,886"
"Albemarle County",-,"204 - Belfield",431,290,37,16,2,8,784
"Albemarle County",-,"301 - Ivy","1,692",818,78,44,19,12,"2,663"
"Albemarle County",-,"302 - Red Hill","1,103",738,56,17,18,19,"1,951"
"Albemarle County",-,"304 - East Ivy",397,245,25,18,3,4,692
"Albemarle County",-,"305 - Country Green",957,555,57,37,18,19,"1,643"
"Albemarle County",-,"306 - Porters",588,388,32,6,21,6,"1,041"
"Albemarle County",-,"307 - Yellow Mountain",261,202,17,13,5,8,506
"Albemarle County",-,"401 - Scottsville",445,590,41,12,12,6,"1,106"
"Albemarle County",-,"402 - Monticello",445,547,25,8,11,10,"1,046"
"Albemarle County",-,"405 - Cale","2,198",805,142,77,33,33,"3,288"
"Albemarle County",-,"406 - Stone Robinson",909,997,73,40,14,19,"2,052"
"Albemarle County",-,"501 - Keswick",538,397,21,9,7,12,984
"Albemarle County",-,"502 - Stony Point",534,530,38,19,6,10,"1,137"
"Albemarle County",-,"503 - Hollymead",971,654,69,49,13,21,"1,777"
"Albemarle County",-,"504 - Free Bridge","1,627",823,114,49,20,27,"2,660"
"Albemarle County",-,"506 - Baker-butler","1,117",938,89,62,21,17,"2,244"
"Albemarle County",-,"601 - Crozet","1,576","1,081",122,36,22,25,"2,862"
"Albemarle County",-,"602 - Free Union",484,444,25,11,6,9,979
"Albemarle County",-,"603 - Earlysville","1,061","1,045",82,43,15,23,"2,269"
"Albemarle County",-,"604 - Brownsville","1,802","1,192",152,69,14,26,"3,255"
"Albemarle County",-,"Ab - Central Absentee Precinct","4,707","1,828",238,120,39,61,"6,993"
"Albemarle County",-,Provisional,48,29,5,2,2,1,87
"Alexandria City",-,"101 - Ladrey Senior Building",971,349,39,29,12,23,"1,423"
"Alexandria City",-,"102 - City Hall",879,413,52,22,7,56,"1,429"
"Alexandria City",-,"103 - Lyles Crouch School","1,504",497,58,36,17,35,"2,147"
"Alexandria City",-,"104 - Durant Center","1,293",271,59,47,9,38,"1,717"
"Alexandria City",-,"105 - Lee Center","1,696",480,79,53,15,43,"2,366"
"Alexandria City",-,"106 - Cora Kelly Center","2,301",380,95,75,19,32,"2,902"
"Alexandria City",-,"107 - Mt Vernon Recreation Center","2,384",486,88,79,23,52,"3,112"
"Alexandria City",-,"108 - George Washington Middle Sch","2,165",397,91,85,25,49,"2,812"
"Alexandria City",-,"109 - Fire Department Headquarters","1,012",351,65,46,13,28,"1,515"
"Alexandria City",-,"110 - Charles Houston Center","1,488",246,66,42,23,22,"1,887"
"Alexandria City",-,"201 - Maury School","1,294",299,49,36,14,37,"1,729"
"Alexandria City",-,"202 - George Mason School","1,228",404,45,55,7,58,"1,797"
"Alexandria City",-,"203 - Agudas Achim Synagogue","1,482",296,45,52,14,28,"1,917"
"Alexandria City",-,"204 - Blessed Sacrament Church","1,186",391,49,40,14,50,"1,730"
"Alexandria City",-,"205 - Douglas Macarthur School","1,566",500,77,54,9,58,"2,264"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr","1,239",356,44,31,13,26,"1,709"
"Alexandria City",-,"207 - Temple Beth El Synagogue","1,557",519,68,46,17,40,"2,247"
"Alexandria City",-,"208 - Nova Arts Center","1,722",389,60,37,30,23,"2,261"
"Alexandria City",-,"209 - James K Polk School","1,835",414,49,40,17,23,"2,378"
"Alexandria City",-,"210 - The Hermitage",805,274,29,32,8,14,"1,162"
"Alexandria City",-,"302 - Patrick Henry Rec Center","1,407",247,48,31,22,19,"1,774"
"Alexandria City",-,"303 - Charles E Beatley Library","1,599",298,38,17,19,27,"1,998"
"Alexandria City",-,"304 - Samuel Tucker School","2,246",413,71,47,31,30,"2,838"
"Alexandria City",-,"305 - John Adams School","1,843",320,38,28,20,24,"2,273"
"Alexandria City",-,"306 - William Ramsay School","1,985",285,37,20,21,19,"2,367"
"Alexandria City",-,"307 - South Port","1,376",350,26,18,18,14,"1,802"
"Alexandria City",-,"308 - Cameron Station Community Ctr","1,408",545,67,42,16,41,"2,119"
